"ID","SEXENT","tuition_IO","race_ethn_desc_IPEDS","Major_F1","coll_f1","entering_fall","Major_S1","coll_s1","Major_F2","coll_f2","Major_S2","coll_s2","Major_F3","coll_f3","Major_S3","coll_s3","Major_F4","coll_f4","Major_S4","coll_s4","Major_F5","coll_f5","Major_S5","coll_s5","Major_F6","coll_f6","Major_S6","coll_s6","dgrterm","grad_year","SF"
"1","M","I","White","PSCI_F1","SCI_F1","Fall 2001","PSCI_S1","SCI_S1","PSCI_F2","SCI_F2","PSCI_S2","SCI_S2","IS_F3","LAHS_F3","IS_S3","LAHS_S3","IS_F4","LAHS_F4","IS_S4","LAHS_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"2","M","O","White","CS_F1","SCI_F1","Fall 2001","CS_S1","SCI_S1","CS_F2","SCI_F2","CS_S2","SCI_S2","NE_F3","NE_F3","NE_S3","NE_S3","CS_F4","ENG_F4","CS_S4","ENG_S4","CS_F5","ENG_F5","CS_S5","ENG_S5","NE_F6","NE_F6","NE_S6","NE_S6",,,
"3","F","O","White","BIT_F1","BIZ_F1","Fall 2001","MGT_S1","BIZ_S1","NE_F2","NE_F2","NE_S2","NE_S2","NE_F3","NE_F3","NE_S3","NE_S3","NE_F4","NE_F4","NE_S4","NE_S4","NE_F5","NE_F5","NE_S5","NE_S5","NE_F6","NE_F6","NE_S6","NE_S6",,,
"4","F","I","White","FORS_F1","NRE_F1","Fall 2001","FORS_S1","NRE_S1","NE_F2","NE_F2","NE_S2","NE_S2","FORS_F3","NRE_F3","FORS_S3","NRE_S3","NRR_F4","NRE_F4","NRR_S4","NRE_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"5","F","O","White","HIDM_F1","LAHS_F1","Fall 2001","HIDM_S1","LAHS_S1","HIDM_F2","LAHS_F2","IDP_S2","AUS_S2","ITDS_F3","AUS_F3","ITDS_S3","AUS_S3","ART_F4","AUS_F4","ART_S4","AUS_S4","ART_F5","AUS_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200509","GRAD_S5","S5"
"6","F","I","White","MKTG_F1","BIZ_F1","Fall 2001","HD_S1","LAHS_S1","HD_F2","LAHS_F2","HD_S2","LAHS_S2","HD_F3","LAHS_F3","HD_S3","LAHS_S3","HD_F4","LAHS_F4","HD_S4","LAHS_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"7","M","O","White","GE_F1","ENG_F1","Fall 2001","GE_S1","ENG_S1","CE_F2","ENG_F2","CE_S2","ENG_S2","CE_F3","ENG_F3","CE_S3","ENG_S3","CE_F4","ENG_F4","CE_S4","ENG_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"8","M","O","White","GE_F1","ENG_F1","Fall 2001","GE_S1","ENG_S1","ME_F2","ENG_F2","ME_S2","ENG_S2","ME_F3","ENG_F3","ME_S3","ENG_S3","NE_F4","NE_F4","ME_S4","ENG_S4","ME_F5","ENG_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200509","GRAD_S5","S5"
"9","F","O","White","COMM_F1","SCI_F1","Fall 2001","COMM_S1","SCI_S1","NE_F2","NE_F2","NE_S2","NE_S2","NE_F3","NE_F3","NE_S3","NE_S3","NE_F4","NE_F4","NE_S4","NE_S4","NE_F5","NE_F5","NE_S5","NE_S5","NE_F6","NE_F6","NE_S6","NE_S6",,,
"10","F","I","White","US_F1","IC_F1","Fall 2001","US_S1","IC_S1","ENGL_F2","SCI_F2","ENGL_S2","SCI_S2","ENGL_F3","LAHS_F3","IDST_S3","LAHS_S3","IDST_F4","LAHS_F4","IDST_S4","LAHS_S4","IDST_F5","LAHS_F5","IDST_S5","LAHS_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200601","GRAD_F6","F6"
"11","F","I","White","US_F1","IC_F1","Fall 2001","US_S1","IC_S1","NE_F2","NE_F2","NE_S2","NE_S2","NE_F3","NE_F3","NE_S3","NE_S3","NE_F4","NE_F4","NE_S4","NE_S4","NE_F5","NE_F5","NE_S5","NE_S5","NE_F6","NE_F6","NE_S6","NE_S6",,,
"12","F","I","White","GE_F1","ENG_F1","Fall 2001","GE_S1","ENG_S1","CHE_F2","ENG_F2","CHE_S2","ENG_S2","NE_F3","NE_F3","CHE_S3","ENG_S3","NE_F4","NE_F4","CHE_S4","ENG_S4","CHE_F5","ENG_F5","CHE_S5","ENG_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200601","GRAD_F6","F6"
"13","F","I","Asian","US_F1","IC_F1","Fall 2001","US_S1","IC_S1","US_F2","IC_F2","ENGL_S2","SCI_S2","ENGL_F3","LAHS_F3","ENGL_S3","LAHS_S3","ENGL_F4","LAHS_F4","ENGL_S4","LAHS_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"14","M","I","White","UST_F1","IC_F1","Fall 2001","UST_S1","IC_S1","UST_F2","IC_F2","UST_S2","IC_S2","HTM_F3","BIZ_F3","HTM_S3","BIZ_S3","HTM_F4","BIZ_F4","HTM_S4","BIZ_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"15","F","I","White","HD_F1","LAHS_F1","Fall 2001","HD_S1","LAHS_S1","HD_F2","LAHS_F2","HD_S2","LAHS_S2","HD_F3","LAHS_F3","HD_S3","LAHS_S3","HD_F4","LAHS_F4","GRAD_S4","GRAD_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200409","GRAD_S4","S4"
"16","M","I","White","GE_F1","ENG_F1","Fall 2001","GE_S1","ENG_S1","GE_F2","ENG_F2","EE_S2","ENG_S2","EE_F3","ENG_F3","EE_S3","ENG_S3","NE_F4","NE_F4","EE_S4","ENG_S4","EE_F5","ENG_F5","EE_S5","ENG_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200601","GRAD_F6","F6"
"17","M","I","White","GE_F1","ENG_F1","Fall 2001","GE_S1","ENG_S1","GE_F2","ENG_F2","GE_S2","ENG_S2","MINE_F3","ENG_F3","MINE_S3","ENG_S3","MINE_F4","ENG_F4","MINE_S4","ENG_S4","MINE_F5","ENG_F5","MINE_S5","ENG_S5","MINE_F6","ENG_F6","GRAD_S6","GRAD_S6","200609","GRAD_S6","S6"
