ID,SEXENT,tuition_IO,race_ethn_desc_IPEDS,heg_f1,Major_F1,coll_f1,entering_fall,heg_s1,Major_S1,coll_s1,heg_f2,Major_F2,coll_f2,heg_s2,Major_S2,coll_s2,heg_f3,Major_F3,coll_f3,heg_s3,Major_S3,coll_s3,heg_f4,Major_F4,coll_f4,heg_s4,Major_S4,coll_s4,heg_f5,Major_F5,coll_f5,heg_s5,Major_S5,coll_s5,heg_f6,Major_F6,coll_f6,heg_s6,Major_S6,coll_s6,dgrterm,GRAD_SF,SF,degree_major,degree_college,degree_year
1,F,I,White,PHIL,PHIL_F1,SCI_F1,Fall 2002,PHIL,PHIL_S1,SCI_S1,PHIL,PHIL_F2,LAHS_F2,PHIL,PHIL_S2,LAHS_S2,,NE_F3,NE_F3,PSYC,PSYC_S3,SCI_S3,PSYC,PSYC_F4,SCI_F4,PSYC,PSYC_S4,SCI_S4,PSYC,PSYC_F5,SCI_F5,PSYC,PSYC_S5,SCI_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200701,GRAD_F6,F6,PSYC,08,2007
2,M,I,White,DASC,DASC_F1,ALS_F1,Fall 2002,DASC,DASC_S1,ALS_S1,DASC,DASC_F2,ALS_F2,DASC,DASC_S2,ALS_S2,DASC,DASC_F3,ALS_F3,DASC,DASC_S3,ALS_S3,,GRAD_F4,GRAD_F4,,GRAD_S4,GRAD_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200501,GRAD_F4,F4,DASC,01,2005
3,M,O,White,US,US_F1,IC_F1,Fall 2002,US,US_S1,IC_S1,US,US_F2,IC_F2,BC,BC_S2,AUS_S2,BC,BC_F3,AUS_F3,BC,BC_S3,AUS_S3,BC,BC_F4,AUS_F4,BC,BC_S4,AUS_S4,BC,BC_F5,AUS_F5,BC,BC_S5,AUS_S5,BC,BC_F6,AUS_F6,,GRAD_S6,GRAD_S6,200709,GRAD_S6,S6,BC,02,2007
4,F,I,White,GE,GE_F1,ENG_F1,Fall 2002,GE,GE_S1,ENG_S1,MINE,MINE_F2,ENG_F2,MINE,MINE_S2,ENG_S2,MINE,MINE_F3,ENG_F3,MINE,MINE_S3,ENG_S3,MINE,MINE_F4,ENG_F4,,NE_S4,NE_S4,,NE_F5,NE_F5,MINE,MINE_S5,ENG_S5,MINE,MINE_F6,ENG_F6,MINE,MINE_S6,ENG_S6,200801,,,MINE,05,2008
5,F,O,Nonresident Alien,CS,CS_F1,SCI_F1,Fall 2002,CS,CS_S1,SCI_S1,CS,CS_F2,ENG_F2,CS,CS_S2,ENG_S2,CS,CS_F3,ENG_F3,CS,CS_S3,ENG_S3,CS,CS_F4,ENG_F4,CS,CS_S4,ENG_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200601,GRAD_F5,F5,CS,05,2006
6,F,I,White,FCSE,FCSE_F1,LAHS_F1,Fall 2002,FCSE,FCSE_S1,LAHS_S1,FCSE,FCSE_F2,LAHS_F2,FCSE,FCSE_S2,LAHS_S2,FCSE,FCSE_F3,LAHS_F3,FCSE,FCSE_S3,LAHS_S3,FCSE,FCSE_F4,LAHS_F4,FCSE,FCSE_S4,LAHS_S4,FCSE,FCSE_F5,LAHS_F5,FCSE,FCSE_S5,LAHS_S5,,NE_F6,NE_F6,,NE_S6,NE_S6,200807,,,FCSE,07,2008
7,F,I,White,HIST,HIST_F1,SCI_F1,Fall 2002,HIST,HIST_S1,SCI_S1,ENGL,ENGL_F2,LAHS_F2,ENGL,ENGL_S2,LAHS_S2,ENGL,ENGL_F3,LAHS_F3,ENGL,ENGL_S3,LAHS_S3,ENGL,ENGL_F4,LAHS_F4,,GRAD_S4,GRAD_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200509,GRAD_S4,S4,ENGL,07,2005
8,M,I,White,GE,GE_F1,ENG_F1,Fall 2002,GE,GE_S1,ENG_S1,ME,ME_F2,ENG_F2,ME,ME_S2,ENG_S2,ME,ME_F3,ENG_F3,ME,ME_S3,ENG_S3,ME,ME_F4,ENG_F4,ME,ME_S4,ENG_S4,ME,ME_F5,ENG_F5,ME,ME_S5,ENG_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200701,GRAD_F6,F6,ME,05,2007
9,M,I,White,US,US_F1,IC_F1,Fall 2002,US,US_S1,IC_S1,US,US_F2,IC_F2,US,US_S2,IC_S2,BC,BC_F3,AUS_F3,BC,BC_S3,AUS_S3,BC,BC_F4,AUS_F4,BC,BC_S4,AUS_S4,,NE_F5,NE_F5,BC,BC_S5,AUS_S5,,NE_F6,NE_F6,,NE_S6,NE_S6,,,,,,
10,F,I,Black or African American,GE,GE_F1,ENG_F1,Fall 2002,GE,GE_S1,ENG_S1,GE,GE_F2,ENG_F2,,NE_S2,NE_S2,AE,AE_F3,ENG_F3,AE,AE_S3,ENG_S3,AE,AE_F4,ENG_F4,AE,AE_S4,ENG_S4,AE,AE_F5,ENG_F5,AE,AE_S5,ENG_S5,AE,AE_F6,ENG_F6,AE,AE_S6,ENG_S6,200901,,,AE,05,2009
