ID,SEXENT,tuition_IO,race_ethn_desc_IPEDS,Field4,heg_f1,Major_F1,coll_f1,entering_fall,heg_s1,Major_S1,coll_s1,heg_f2,Major_F2,coll_f2,heg_s2,Major_S2,coll_s2,heg_f3,Major_F3,coll_f3,heg_s3,Major_S3,coll_s3,heg_f4,Major_F4,coll_f4,heg_s4,Major_S4,coll_s4,heg_f5,Major_F5,coll_f5,heg_s5,Major_S5,coll_s5,heg_f6,Major_F6,coll_f6,heg_s6,Major_S6,coll_s6,dgrterm,Major_SF,SF,degree_major,degree_college,degree_year
1,F,O,White,,GE,GE_F1,ENG_F1,Fall 2004,GE,GE_S1,ENG_S1,BSE,BSE_F2,ENG_F2,BSE,BSE_S2,ENG_S2,BSE,BSE_F3,ENG_F3,BSE,BSE_S3,ENG_S3,BSE,BSE_F4,ENG_F4,BSE,BSE_S4,ENG_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200801,GRAD_F5,_F5,BSE,05,2008
2,M,O,Not Reported,,GE,GE_F1,ENG_F1,Fall 2004,GE,GE_S1,ENG_S1,ME,ME_F2,ENG_F2,ME,ME_S2,ENG_S2,ME,ME_F3,ENG_F3,ME,ME_S3,ENG_S3,ME,ME_F4,ENG_F4,ME,ME_S4,ENG_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200801,GRAD_F5,_F5,ME,05,2008
3,M,I,White,,GE,GE_F1,ENG_F1,Fall 2004,GE,GE_S1,ENG_S1,GE,GE_F2,ENG_F2,GE,GE_S2,ENG_S2,GE,GE_F3,ENG_F3,,NE_S3,NE_S3,GE,GE_F4,ENG_F4,,NE_S4,NE_S4,,NE_F5,NE_F5,,NE_S5,NE_S5,,NE_F6,NE_F6,,NE_S6,NE_S6,,,,,,
4,M,I,White,,AGED,AGED_F1,LAHS_F1,Fall 2004,AGED,AGED_S1,LAHS_S1,AGED,AGED_F2,LAHS_F2,AGED,AGED_S2,LAHS_S2,AGED,AGED_F3,LAHS_F3,AGED,AGED_S3,LAHS_S3,,NE_F4,NE_F4,,NE_S4,NE_S4,,NE_F5,NE_F5,,NE_S5,NE_S5,,NE_F6,NE_F6,,NE_S6,NE_S6,,,,,,
5,F,I,White,,US,US_F1,IC_F1,Fall 2004,US,US_S1,IC_S1,US,US_F2,IC_F2,US,US_S2,IC_S2,PSYC,PSYC_F3,SCI_F3,PSYC,PSYC_S3,SCI_S3,PSYC,PSYC_F4,SCI_F4,PSYC,PSYC_S4,SCI_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200801,GRAD_F5,_F5,PSYC,08,2008
6,M,I,White,,US,US_F1,IC_F1,Fall 2004,US,US_S1,IC_S1,US,US_F2,IC_F2,,NE_S2,NE_S2,,NE_F3,NE_F3,,NE_S3,NE_S3,,NE_F4,NE_F4,,NE_S4,NE_S4,,NE_F5,NE_F5,,NE_S5,NE_S5,,NE_F6,NE_F6,,NE_S6,NE_S6,,,,,,
7,M,I,White,,US,US_F1,IC_F1,Fall 2004,US,US_S1,IC_S1,PSYC,PSYC_F2,SCI_F2,PSYC,PSYC_S2,SCI_S2,PSYC,PSYC_F3,SCI_F3,PSYC,PSYC_S3,SCI_S3,BIOL,BIOL_F4,SCI_F4,BIOL,BIOL_S4,SCI_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200801,GRAD_F5,_F5,BIOL,08,2008
8,F,I,White,,US,US_F1,IC_F1,Fall 2004,US,US_S1,IC_S1,US,US_F2,IC_F2,US,US_S2,IC_S2,ENGL,ENGL_F3,LAHS_F3,ENGL,ENGL_S3,LAHS_S3,ENGL,ENGL_F4,LAHS_F4,ENGL,ENGL_S4,LAHS_S4,ENGL,ENGL_F5,LAHS_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200809,GRAD_S5,_S5,ENGL,07,2008
9,M,I,White,,PSYC,PSYC_F1,SCI_F1,Fall 2004,PSYC,PSYC_S1,SCI_S1,PSYC,PSYC_F2,SCI_F2,PSYC,PSYC_S2,SCI_S2,PSYC,PSYC_F3,SCI_F3,PSYC,PSYC_S3,SCI_S3,PSYC,PSYC_F4,SCI_F4,PSYC,PSYC_S4,SCI_S4,PSYC,PSYC_F5,SCI_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200809,GRAD_S5,_S5,PSYC,08,2008
10,F,O,White,,LAHS,LAHS_F1,LAHS_F1,Fall 2004,LAHS,LAHS_S1,LAHS_S1,PSCI,PSCI_F2,LAHS_F2,PSCI,PSCI_S2,LAHS_S2,PSCI,PSCI_F3,LAHS_F3,PSCI,PSCI_S3,LAHS_S3,PSCI,PSCI_F4,LAHS_F4,,NE_S4,NE_S4,,NE_F5,NE_F5,,NE_S5,NE_S5,,NE_F6,NE_F6,,NE_S6,NE_S6,,,,,,
